parcel_id,farmer_name,season,year,total_rainfall_mm,rainy_days,avg_temperature_c,max_temperature_c,min_temperature_c,avg_humidity_percent,avg_wind_speed_kmph,solar_radiation_mj,evapotranspiration_mm,drought_risk
AP_ANP_00007,Padma Kumari,Rabi,2025,110.5,37,28.3,30.4,23.2,49.8,6.4,23.6,93.6,
AP_ANP_00007,Padma Kumari,Summer,2025,69.1,2,34.6,40.7,28.2,52.8,6.1,21.7,223.9,
AP_ANP_00008,Srinivas Reddy,Kharif,2025,341.4,3,25.7,33.7,17.9,84.5,11.4,27.9,97.2,
AP_ANP_00008,Srinivas Reddy,Rabi,2025,56.3,21,26.4,33.7,19.7,65.4,12.6,13.5,90.4,
AP_ANP_00008,Srinivas Reddy,Summer,2025,89.9,26,37.3,43.3,35.3,20.3,5.4,21.9,223.0,
AP_ANP_00009,Venkatesh Rao,Kharif,2025,510.8,34,26.2,31.2,23.1,76.4,8.5,25.4,230.2,
AP_ANP_00009,Venkatesh Rao,Rabi,2025,60.0,23,24.5,28.1,21.0,55.3,17.6,19.1,273.0,
AP_ANP_00009,Venkatesh Rao,Summer,2025,63.1,29,39.5,45.5,32.3,37.6,6.5,21.0,193.0,
AP_ANP_00010,Nagarjuna Reddy,Kharif,2025,557.4,31,24.4,32.1,16.9,84.8,8.6,12.3,282.1,
AP_ANP_00010,Nagarjuna Reddy,Rabi,2025,75.7,34,29.6,32.1,25.8,68.9,5.9,16.8,171.3,
AP_ANP_00010,Nagarjuna Reddy,Summer,2025,37.3,4,34.7,40.1,32.1,49.5,12.2,29.8,85.0,
AP_ANP_00011,Venkat Ramaiah,Kharif,2025,457.3,34,32.8,35.6,26.5,77.2,11.3,17.3,154.9,
AP_ANP_00011,Venkat Ramaiah,Rabi,2025,53.3,8,25.3,30.3,18.5,42.4,12.7,24.6,248.9,
AP_ANP_00011,Venkat Ramaiah,Summer,2025,89.0,3,34.1,38.7,28.1,33.1,7.9,14.8,295.5,
AP_ANP_00012,Gopal Reddy,Kharif,2025,585.6,43,32.6,39.5,28.4,62.5,4.9,21.4,242.5,
AP_ANP_00012,Gopal Reddy,Rabi,2025,48.1,33,25.5,30.7,20.3,42.6,12.6,25.1,294.0,
AP_ANP_00012,Gopal Reddy,Summer,2025,51.6,20,33.9,38.5,31.4,47.8,3.4,29.3,259.0,
AP_ANP_00013,Bhavani S,Kharif,2025,528.4,2,28.1,32.8,24.7,60.2,4.4,15.3,283.7,
AP_ANP_00013,Bhavani S,Rabi,2025,103.0,6,24.2,29.9,19.7,59.7,6.7,18.4,239.5,
AP_ANP_00013,Bhavani S,Summer,2025,1.4,31,31.4,38.5,25.2,21.6,10.1,13.8,172.9,
AP_ANP_00014,Ravi Teja,Kharif,2025,439.4,24,25.7,28.0,18.0,68.0,16.3,16.7,53.8,
AP_ANP_00014,Ravi Teja,Rabi,2025,141.3,5,24.0,29.7,16.3,56.2,17.2,27.6,209.1,
AP_ANP_00014,Ravi Teja,Summer,2025,80.1,34,38.1,42.8,32.8,40.1,17.1,18.9,290.3,
AP_ANP_00015,Narasimha Rao,Kharif,2025,612.1,32,26.0,30.3,23.8,57.1,12.3,18.1,213.9,
AP_ANP_00015,Narasimha Rao,Rabi,2025,70.1,42,26.2,31.2,20.0,50.2,8.2,28.9,59.8,
AP_ANP_00015,Narasimha Rao,Summer,2025,41.8,38,41.6,48.1,34.8,39.2,17.9,19.4,143.0,
AP_ANP_00016,Anuradha V,Kharif,2025,560.6,38,27.4,30.8,21.3,82.9,14.1,16.3,144.4,
AP_ANP_00016,Anuradha V,Rabi,2025,89.5,14,24.0,31.4,19.7,51.7,3.2,28.3,72.8,
AP_ANP_00016,Anuradha V,Summer,2025,31.9,20,41.4,46.4,38.9,53.3,4.4,22.8,188.4,
AP_ANP_00017,Krishna Murthy,Kharif,2025,335.1,40,33.5,36.0,28.5,78.4,3.9,21.9,160.4,
AP_ANP_00017,Krishna Murthy,Rabi,2025,135.4,13,22.2,28.3,15.2,43.5,16.0,27.1,156.5,
AP_ANP_00017,Krishna Murthy,Summer,2025,22.3,3,34.8,37.3,32.3,51.2,17.8,18.7,142.7,
AP_ANP_00018,Padma Kumari,Kharif,2025,575.1,5,33.5,37.6,27.3,84.6,10.2,18.8,226.3,
AP_ANP_00018,Padma Kumari,Rabi,2025,52.3,14,22.0,26.4,16.6,53.0,14.1,25.8,255.7,
AP_ANP_00018,Padma Kumari,Summer,2025,74.4,26,38.2,45.4,34.9,28.3,17.4,12.2,292.5,
AP_ANP_00019,Srinivas Reddy,Kharif,2025,267.3,12,32.9,40.4,29.4,70.8,13.4,13.4,91.6,
AP_ANP_00019,Srinivas Reddy,Rabi,2025,48.2,4,21.5,28.9,19.2,69.9,7.2,29.1,272.6,
AP_ANP_00019,Srinivas Reddy,Summer,2025,45.6,29,37.4,43.3,33.1,29.7,6.4,16.8,140.1,
AP_ANP_00020,Vijayalakshmi,Kharif,2025,354.0,10,28.5,32.4,21.6,56.0,13.3,14.9,277.7,
AP_ANP_00020,Vijayalakshmi,Rabi,2025,126.9,26,29.4,33.9,21.8,61.8,16.0,12.8,56.6,
AP_ANP_00020,Vijayalakshmi,Summer,2025,37.6,12,39.7,45.3,35.4,54.6,17.5,27.2,259.6,
AP_ANP_00021,Nagarjuna Reddy,Kharif,2025,437.5,7,28.1,34.3,22.9,63.2,14.2,28.4,196.3,
AP_ANP_00021,Nagarjuna Reddy,Rabi,2025,114.4,22,27.1,31.8,24.3,51.3,17.3,22.9,107.2,
AP_ANP_00021,Nagarjuna Reddy,Summer,2025,67.2,9,37.4,39.5,32.4,32.5,10.1,27.0,126.9,
AP_ANP_00022,Venkat Ramaiah,Kharif,2025,576.6,18,33.7,36.5,31.5,57.7,14.3,23.2,226.0,
AP_ANP_00022,Venkat Ramaiah,Rabi,2025,47.7,39,19.6,25.2,13.8,40.4,11.3,13.6,231.6,
AP_ANP_00022,Venkat Ramaiah,Summer,2025,54.7,31,35.4,41.1,28.2,51.9,17.2,14.6,281.6,
AP_ANP_00023,Gopal Reddy,Kharif,2025,446.8,35,26.6,32.3,22.5,68.8,6.1,22.4,135.4,
AP_ANP_00023,Gopal Reddy,Rabi,2025,89.8,12,23.5,26.3,17.7,57.5,5.7,18.2,274.2,
AP_ANP_00023,Gopal Reddy,Summer,2025,47.4,20,38.0,44.9,33.9,26.0,8.2,12.6,187.2,
AP_ANP_00024,Bhavani S,Kharif,2025,463.8,15,27.6,31.6,23.7,81.8,4.4,20.7,221.9,
AP_ANP_00024,Bhavani S,Rabi,2025,86.5,18,19.9,23.6,13.1,51.3,14.2,15.3,102.3,
AP_ANP_00024,Bhavani S,Summer,2025,37.0,24,35.8,41.0,29.5,41.6,3.9,14.7,83.3,
AP_ANP_00025,Ravi Teja,Kharif,2025,524.9,19,32.4,37.1,27.2,77.5,6.6,16.8,144.3,
AP_ANP_00025,Ravi Teja,Rabi,2025,22.6,27,21.9,27.1,18.5,46.3,8.1,20.5,138.8,
AP_ANP_00025,Ravi Teja,Summer,2025,64.9,23,35.8,41.3,29.3,40.4,9.5,14.3,120.9,
AP_ANP_00026,Narasimha Rao,Kharif,2025,395.2,7,30.5,36.1,27.1,72.1,4.5,14.8,111.5,
AP_ANP_00026,Narasimha Rao,Rabi,2025,40.9,32,20.2,22.5,13.1,48.6,3.8,12.3,224.2,
AP_ANP_00026,Narasimha Rao,Summer,2025,99.7,12,40.8,48.0,33.9,40.2,6.9,15.1,217.2,
AP_ANP_00027,Anuradha V,Kharif,2025,621.8,6,29.6,32.7,25.7,72.1,9.4,21.1,110.6,
AP_ANP_00027,Anuradha V,Rabi,2025,34.9,38,25.3,30.3,17.7,48.7,7.8,22.7,142.3,
AP_ANP_00027,Anuradha V,Summer,2025,45.4,3,36.6,40.5,29.7,39.2,6.8,24.3,240.1,
AP_ANP_00028,Krishna Murthy,Kharif,2025,488.3,31,28.7,31.3,21.6,67.4,14.2,19.4,283.2,
AP_ANP_00028,Krishna Murthy,Rabi,2025,148.8,2,20.5,26.9,15.1,51.4,15.6,14.5,248.8,
AP_ANP_00028,Krishna Murthy,Summer,2025,20.2,6,32.0,35.4,26.2,25.7,16.6,17.7,197.1,
AP_ANP_00029,Padma Kumari,Kharif,2025,523.2,33,28.5,33.3,24.7,76.4,14.2,21.0,108.1,
AP_ANP_00029,Padma Kumari,Rabi,2025,136.9,41,22.6,26.0,17.3,56.3,9.5,18.0,232.6,
AP_ANP_00029,Padma Kumari,Summer,2025,69.4,34,32.0,37.2,24.6,50.8,14.8,14.7,127.9,
AP_ANP_00030,Subba Rao,Kharif,2025,349.4,23,31.4,37.7,26.4,56.0,14.3,13.9,184.1,
AP_ANP_00030,Subba Rao,Rabi,2025,69.2,16,23.5,30.3,20.6,58.1,6.4,25.0,230.0,
AP_ANP_00030,Subba Rao,Summer,2025,64.1,44,38.3,43.9,31.3,39.0,17.4,18.2,106.8,
AP_ANP_00031,Vijayalakshmi,Kharif,2025,419.4,27,26.9,32.4,21.9,73.4,12.2,12.3,268.0,
AP_ANP_00031,Vijayalakshmi,Rabi,2025,141.2,38,24.8,31.0,21.9,60.9,11.6,22.9,156.0,
AP_ANP_00031,Vijayalakshmi,Summer,2025,73.6,24,41.2,43.9,37.8,52.4,5.5,15.4,259.4,
AP_ANP_00032,Nagarjuna Reddy,Kharif,2025,382.9,16,27.1,31.5,24.8,61.8,8.0,26.5,51.2,
AP_ANP_00032,Nagarjuna Reddy,Rabi,2025,63.4,12,22.8,30.3,18.0,56.1,10.2,28.5,196.8,
AP_ANP_00032,Nagarjuna Reddy,Summer,2025,3.3,26,41.0,46.0,36.5,28.7,16.7,18.5,195.1,
AP_ANP_00033,Venkat Ramaiah,Kharif,2025,502.9,8,24.1,32.0,19.3,74.9,11.4,27.5,183.8,
AP_ANP_00033,Venkat Ramaiah,Rabi,2025,44.0,31,21.6,28.1,18.3,49.3,16.5,15.7,97.7,
AP_ANP_00033,Venkat Ramaiah,Summer,2025,3.7,19,35.7,39.5,29.4,39.8,10.9,21.6,170.3,
AP_ANP_00034,Gopal Reddy,Kharif,2025,448.8,9,31.7,38.9,24.0,58.1,8.6,16.9,211.0,
AP_ANP_00034,Gopal Reddy,Rabi,2025,73.1,8,18.3,24.3,16.1,44.7,6.3,16.2,218.0,
AP_ANP_00034,Gopal Reddy,Summer,2025,2.0,4,31.2,38.5,25.9,48.0,13.8,26.5,297.2,
AP_ANP_00035,Bhavani S,Kharif,2025,491.3,38,32.1,34.9,27.7,83.9,7.9,13.6,208.3,
AP_ANP_00035,Bhavani S,Rabi,2025,115.7,20,28.2,33.7,23.7,43.7,16.4,26.7,135.5,
AP_ANP_00035,Bhavani S,Summer,2025,25.9,13,34.6,41.6,30.5,40.7,14.6,18.5,265.3,
AP_ANP_00036,Ravi Teja,Kharif,2025,337.8,18,33.7,40.9,28.8,78.4,16.4,26.4,156.3,
AP_ANP_00036,Ravi Teja,Rabi,2025,22.9,26,21.2,24.7,18.4,56.2,15.5,29.7,181.4,
AP_ANP_00036,Ravi Teja,Summer,2025,17.2,19,33.3,38.5,26.4,20.6,10.5,13.2,151.3,
AP_ANP_00037,Narasimha Rao,Kharif,2025,449.0,23,31.2,34.0,23.8,58.2,16.1,22.8,200.1,
AP_ANP_00037,Narasimha Rao,Rabi,2025,106.5,27,20.1,24.5,13.5,67.4,9.3,18.4,289.7,
AP_ANP_00037,Narasimha Rao,Summer,2025,18.4,30,31.1,35.4,27.4,47.0,8.3,24.9,124.3,
AP_ANP_00038,Anuradha V,Kharif,2025,476.6,23,28.8,35.2,25.5,74.9,3.5,16.7,198.8,
AP_ANP_00038,Anuradha V,Rabi,2025,26.7,35,24.0,29.7,19.2,57.9,8.2,18.3,153.2,
AP_ANP_00038,Anuradha V,Summer,2025,70.5,36,37.2,44.1,30.4,36.1,13.4,16.9,197.6,
AP_ANP_00039,Krishna Murthy,Kharif,2025,394.4,18,24.9,32.6,20.2,82.5,5.8,21.8,268.2,
AP_ANP_00039,Krishna Murthy,Rabi,2025,115.2,17,27.7,34.8,24.2,59.8,10.3,16.0,296.9,
AP_ANP_00039,Krishna Murthy,Summer,2025,94.4,8,30.5,38.5,25.2,44.7,10.1,17.6,80.1,
AP_ANP_00040,Ramesh Kumar,Kharif,2025,542.4,24,25.9,32.7,19.4,58.5,3.8,20.2,180.6,
AP_ANP_00040,Ramesh Kumar,Rabi,2025,103.8,35,25.8,33.1,20.6,50.9,9.6,19.3,193.1,
AP_ANP_00040,Ramesh Kumar,Summer,2025,80.4,14,36.5,42.3,29.2,43.2,12.2,16.2,56.1,
AP_ANP_00041,Subba Rao,Kharif,2025,598.0,14,24.2,28.5,16.6,81.2,4.1,12.2,63.2,
AP_ANP_00041,Subba Rao,Rabi,2025,31.5,17,18.5,25.7,10.6,54.4,14.5,19.5,155.3,
AP_ANP_00041,Subba Rao,Summer,2025,73.8,15,32.9,36.7,25.8,23.9,13.7,22.6,119.3,
AP_ANP_00042,Vijayalakshmi,Kharif,2025,614.1,25,24.5,27.2,16.8,58.3,15.0,16.7,197.1,
AP_ANP_00042,Vijayalakshmi,Rabi,2025,147.7,14,28.6,36.5,22.1,58.0,4.0,19.2,259.5,
AP_ANP_00042,Vijayalakshmi,Summer,2025,23.1,44,40.0,43.1,36.7,24.2,5.8,26.0,137.5,
AP_ANP_00043,Nagarjuna Reddy,Kharif,2025,273.1,36,33.7,39.3,28.5,81.5,6.9,21.3,172.8,
AP_ANP_00043,Nagarjuna Reddy,Rabi,2025,149.5,14,28.8,32.1,23.6,53.9,11.9,22.4,72.9,
AP_ANP_00043,Nagarjuna Reddy,Summer,2025,87.7,10,33.2,35.5,26.1,24.5,3.5,17.9,282.9,
AP_ANP_00044,Venkat Ramaiah,Kharif,2025,544.1,39,26.8,30.4,20.5,62.6,10.4,13.5,105.0,
AP_ANP_00044,Venkat Ramaiah,Rabi,2025,108.8,41,18.9,26.2,13.8,65.5,16.6,22.3,215.5,
AP_ANP_00044,Venkat Ramaiah,Summer,2025,54.4,25,40.4,47.2,34.4,45.7,15.8,27.6,227.1,
AP_ANP_00045,Gopal Reddy,Kharif,2025,584.8,28,31.0,37.5,28.0,75.4,16.2,27.7,57.3,
AP_ANP_00045,Gopal Reddy,Rabi,2025,127.4,31,19.5,27.0,17.5,50.1,11.3,25.6,114.7,
AP_ANP_00045,Gopal Reddy,Summer,2025,19.3,42,31.0,36.8,27.4,31.4,12.5,21.7,245.0,
AP_ANP_00046,Bhavani S,Kharif,2025,292.8,33,31.6,38.6,27.2,71.2,5.7,25.6,247.2,
AP_ANP_00046,Bhavani S,Rabi,2025,42.6,18,27.3,33.9,21.0,68.4,10.1,13.0,68.7,
AP_ANP_00046,Bhavani S,Summer,2025,85.2,13,41.9,48.4,39.1,43.7,14.4,12.4,55.5,
AP_ANP_00047,Ravi Teja,Kharif,2025,379.4,24,28.9,33.6,25.3,78.1,18.0,19.7,162.8,
AP_ANP_00047,Ravi Teja,Rabi,2025,41.3,33,27.5,30.0,21.4,60.8,12.8,16.9,287.7,
AP_ANP_00047,Ravi Teja,Summer,2025,15.1,17,35.2,42.3,27.4,53.0,14.4,20.0,128.0,
AP_ANP_00048,Narasimha Rao,Kharif,2025,378.3,36,31.2,33.4,25.3,77.4,8.5,27.6,168.3,
AP_ANP_00048,Narasimha Rao,Rabi,2025,145.9,9,20.2,26.8,13.1,66.1,14.4,23.3,82.8,
AP_ANP_00048,Narasimha Rao,Summer,2025,3.3,16,41.1,46.0,38.4,41.6,4.9,24.3,157.6,
AP_ANP_00049,Anuradha V,Kharif,2025,330.2,3,28.9,35.7,25.0,56.9,9.8,12.2,68.1,
AP_ANP_00049,Anuradha V,Rabi,2025,71.0,33,23.8,29.7,17.3,58.0,17.3,28.3,231.1,
AP_ANP_00049,Anuradha V,Summer,2025,74.9,33,31.8,33.9,26.9,23.6,6.2,18.2,244.0,
AP_ANP_00050,Suresh Naidu,Kharif,2025,626.5,42,24.7,28.8,22.5,71.0,4.2,19.1,83.2,
AP_ANP_00050,Suresh Naidu,Rabi,2025,93.8,35,26.3,28.5,20.3,64.0,17.3,14.2,274.1,
AP_ANP_00050,Suresh Naidu,Summer,2025,59.5,42,37.4,43.7,30.2,41.5,13.7,26.4,134.9,
AP_ANP_00051,Ramesh Kumar,Kharif,2025,575.9,5,24.8,30.4,18.1,81.8,10.2,12.7,91.0,
AP_ANP_00051,Ramesh Kumar,Rabi,2025,77.0,13,26.7,29.7,19.5,57.8,6.3,29.6,134.2,
AP_ANP_00051,Ramesh Kumar,Summer,2025,18.2,19,39.5,41.6,33.6,43.1,8.0,21.8,173.3,
AP_ANP_00052,Subba Rao,Kharif,2025,282.6,16,28.0,31.5,23.2,61.6,16.0,25.1,235.7,
AP_ANP_00052,Subba Rao,Rabi,2025,75.3,21,22.2,27.2,16.9,51.1,10.7,22.6,57.3,
AP_ANP_00052,Subba Rao,Summer,2025,39.6,37,37.3,41.8,33.6,40.9,11.9,28.4,102.7,
AP_ANP_00053,Vijayalakshmi,Kharif,2025,499.2,36,30.3,37.0,25.9,77.0,12.0,23.4,143.2,
AP_ANP_00053,Vijayalakshmi,Rabi,2025,86.6,42,23.0,26.5,15.8,42.1,9.7,21.3,139.8,
AP_ANP_00053,Vijayalakshmi,Summer,2025,59.3,29,32.0,35.5,26.1,33.7,7.9,25.9,82.7,
AP_ANP_00054,Nagarjuna Reddy,Kharif,2025,637.9,4,28.5,33.2,24.5,62.1,9.7,24.0,86.4,
AP_ANP_00054,Nagarjuna Reddy,Rabi,2025,78.4,21,25.1,29.4,19.5,68.5,8.4,21.6,245.4,
AP_ANP_00054,Nagarjuna Reddy,Summer,2025,70.5,7,35.4,38.6,32.7,50.2,7.0,13.0,182.8,
AP_ANP_00055,Venkat Ramaiah,Kharif,2025,624.6,7,24.4,27.5,21.9,58.7,4.5,22.5,222.1,
AP_ANP_00055,Venkat Ramaiah,Rabi,2025,71.7,35,23.8,27.7,16.0,60.6,11.7,16.6,180.4,
AP_ANP_00055,Venkat Ramaiah,Summer,2025,34.3,17,36.4,44.0,30.0,24.4,5.4,15.4,232.7,
AP_ANP_00056,Gopal Reddy,Kharif,2025,312.5,35,26.3,32.3,18.4,83.9,8.6,12.3,111.0,
AP_ANP_00056,Gopal Reddy,Rabi,2025,128.0,28,28.4,36.0,22.3,63.1,13.1,15.9,214.7,
AP_ANP_00056,Gopal Reddy,Summer,2025,39.4,29,37.8,40.8,32.2,23.7,7.8,27.6,298.3,
AP_ANP_00057,Bhavani S,Kharif,2025,551.0,12,24.9,32.2,20.5,63.7,7.9,24.0,252.0,
AP_ANP_00057,Bhavani S,Rabi,2025,119.1,12,27.6,31.9,23.8,53.1,12.7,17.9,207.6,
AP_ANP_00057,Bhavani S,Summer,2025,61.0,30,36.8,41.5,33.4,33.3,8.6,16.1,68.3,
AP_ANP_00058,Ravi Teja,Kharif,2025,491.4,10,30.7,35.0,23.5,73.6,10.8,20.6,56.4,
AP_ANP_00058,Ravi Teja,Rabi,2025,64.4,38,22.6,26.1,17.7,52.0,8.9,21.9,236.7,
AP_ANP_00058,Ravi Teja,Summer,2025,71.5,44,36.3,38.3,30.4,48.8,16.5,16.4,281.8,
AP_ANP_00059,Narasimha Rao,Kharif,2025,274.1,35,33.3,36.3,27.6,65.5,10.8,24.1,282.4,
AP_ANP_00059,Narasimha Rao,Rabi,2025,89.2,31,25.0,31.3,21.4,42.7,9.2,14.2,95.3,
AP_ANP_00059,Narasimha Rao,Summer,2025,68.1,8,32.2,36.0,25.4,38.4,5.8,28.5,156.1,
AP_ANP_00060,Lakshmi Reddy,Kharif,2025,284.8,43,32.2,34.9,30.2,66.2,12.6,21.3,198.4,
AP_ANP_00060,Lakshmi Reddy,Rabi,2025,123.2,43,25.8,33.2,21.7,45.2,6.6,26.0,118.7,
AP_ANP_00060,Lakshmi Reddy,Summer,2025,82.3,19,35.1,41.7,32.2,43.4,9.4,14.8,108.8,
AP_ANP_00061,Suresh Naidu,Kharif,2025,597.7,23,28.7,30.8,22.8,71.1,12.1,21.8,108.0,
AP_ANP_00061,Suresh Naidu,Rabi,2025,70.8,3,25.1,28.7,19.5,54.9,13.1,20.0,161.4,
AP_ANP_00061,Suresh Naidu,Summer,2025,72.5,20,30.2,35.8,26.2,31.9,16.6,25.9,116.2,
AP_ANP_00062,Ramesh Kumar,Kharif,2025,508.1,34,30.0,33.4,25.9,67.0,4.0,21.3,66.9,
AP_ANP_00062,Ramesh Kumar,Rabi,2025,124.0,39,20.8,26.4,14.7,56.2,6.5,20.2,97.6,
AP_ANP_00062,Ramesh Kumar,Summer,2025,5.2,36,34.5,40.9,29.7,32.7,3.9,22.1,289.4,
AP_ANP_00063,Subba Rao,Kharif,2025,320.1,17,30.9,35.4,26.4,61.0,15.3,12.0,125.2,
AP_ANP_00063,Subba Rao,Rabi,2025,147.6,24,23.7,28.1,20.8,51.5,17.9,28.7,185.0,
AP_ANP_00063,Subba Rao,Summer,2025,84.2,19,36.3,43.0,29.1,41.8,12.1,21.1,89.8,
AP_ANP_00064,Vijayalakshmi,Kharif,2025,275.2,3,25.2,29.5,21.1,61.8,6.6,21.2,256.3,
AP_ANP_00064,Vijayalakshmi,Rabi,2025,56.4,7,29.3,36.8,24.3,66.2,17.9,27.3,102.1,
AP_ANP_00064,Vijayalakshmi,Summer,2025,93.1,36,31.4,37.4,26.2,48.6,13.8,14.5,103.0,
AP_ANP_00065,Nagarjuna Reddy,Kharif,2025,577.5,28,27.2,33.4,23.1,55.7,17.6,23.5,255.6,
AP_ANP_00065,Nagarjuna Reddy,Rabi,2025,37.2,15,28.3,31.1,20.9,67.7,15.4,17.7,288.2,
AP_ANP_00065,Nagarjuna Reddy,Summer,2025,82.5,22,38.0,40.2,35.2,24.3,17.4,21.9,291.5,
AP_ANP_00066,Venkat Ramaiah,Kharif,2025,423.0,19,27.1,30.8,20.0,70.2,3.0,12.3,200.6,
AP_ANP_00066,Venkat Ramaiah,Rabi,2025,67.4,35,22.6,27.4,20.3,56.9,17.9,13.0,223.8,
AP_ANP_00066,Venkat Ramaiah,Summer,2025,98.4,10,32.9,39.6,29.3,25.0,5.7,24.4,204.5,
AP_ANP_00067,Gopal Reddy,Kharif,2025,503.3,30,26.3,32.0,21.1,62.0,9.4,14.4,271.7,
AP_ANP_00067,Gopal Reddy,Rabi,2025,78.5,29,20.3,25.2,17.2,51.0,8.8,29.3,112.1,
AP_ANP_00067,Gopal Reddy,Summer,2025,13.4,22,35.0,41.6,32.2,47.7,11.0,15.9,53.0,
AP_ANP_00068,Bhavani S,Kharif,2025,346.5,33,33.8,38.7,31.1,79.0,11.2,20.2,261.1,
AP_ANP_00068,Bhavani S,Rabi,2025,32.8,19,23.9,28.8,19.6,44.5,8.9,20.3,246.3,
AP_ANP_00068,Bhavani S,Summer,2025,89.2,10,41.5,49.2,34.6,47.5,4.1,17.0,282.6,
AP_ANP_00069,Ravi Teja,Kharif,2025,351.2,35,31.8,36.1,27.1,79.8,6.4,28.0,162.7,
AP_ANP_00069,Ravi Teja,Rabi,2025,134.7,24,19.3,25.4,17.0,69.6,4.3,24.9,68.0,
AP_ANP_00069,Ravi Teja,Summer,2025,7.1,22,30.1,34.4,25.3,53.5,17.9,29.5,285.6,
AP_ANP_00070,Venkatesh Rao,Kharif,2025,563.5,6,27.5,33.5,20.9,67.4,7.0,12.4,70.5,
AP_ANP_00070,Venkatesh Rao,Rabi,2025,145.8,26,21.5,29.4,15.5,63.1,3.2,16.6,115.2,
AP_ANP_00070,Venkatesh Rao,Summer,2025,6.9,11,41.5,48.3,37.7,36.7,17.7,22.8,195.6,
AP_ANP_00071,Lakshmi Reddy,Kharif,2025,549.2,12,32.1,34.4,29.4,74.7,12.0,13.7,144.0,
AP_ANP_00071,Lakshmi Reddy,Rabi,2025,91.5,31,22.7,30.3,16.6,44.9,10.4,12.2,298.1,
AP_ANP_00071,Lakshmi Reddy,Summer,2025,67.1,13,33.8,41.3,30.3,50.8,14.3,20.3,260.5,
AP_ANP_00072,Suresh Naidu,Kharif,2025,541.4,12,31.8,35.7,25.3,74.7,7.0,21.7,232.0,
AP_ANP_00072,Suresh Naidu,Rabi,2025,34.0,32,26.2,31.1,23.3,42.8,8.1,19.4,239.5,
AP_ANP_00072,Suresh Naidu,Summer,2025,74.3,24,37.3,43.4,30.1,23.7,12.5,25.7,90.0,
AP_ANP_00073,Ramesh Kumar,Kharif,2025,434.6,6,24.1,31.4,20.4,62.4,5.9,27.8,214.4,
AP_ANP_00073,Ramesh Kumar,Rabi,2025,60.4,28,26.9,30.0,22.8,64.5,14.8,22.0,51.3,
AP_ANP_00073,Ramesh Kumar,Summer,2025,76.1,15,30.4,36.9,23.8,46.1,13.2,25.6,260.5,
AP_ANP_00074,Subba Rao,Kharif,2025,438.1,5,29.0,35.3,21.7,58.7,11.9,19.0,153.2,
AP_ANP_00074,Subba Rao,Rabi,2025,110.4,5,18.0,21.1,13.7,58.6,9.0,27.7,177.5,
AP_ANP_00074,Subba Rao,Summer,2025,72.3,5,31.2,33.5,26.3,27.9,12.0,22.8,55.7,
AP_ANP_00075,Vijayalakshmi,Kharif,2025,378.8,25,30.4,34.4,23.7,59.5,13.6,26.2,179.3,
