parcel_id,farmer_name,season,year,soil_type,soil_texture,soil_depth_cm,pH,organic_carbon,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,sulphur_ppm,zinc_ppm,electrical_conductivity,drainage_class,soil_fertility_score
AP_ANP_00020,Vijayalakshmi,Rabi,2025,Red Loamy Soil,Loamy,74,7.63,0.42,310,11,388,17.35,0.78,0.8,Good,
AP_ANP_00020,Vijayalakshmi,Summer,2025,Red Loamy Soil,Loamy,74,7.63,0.42,310,11,388,17.35,0.78,0.8,Good,
AP_ANP_00021,Nagarjuna Reddy,Kharif,2025,Red Sandy Loam,Sandy,87,6.23,0.57,268,29,337,19.75,2.94,1.02,Good,
AP_ANP_00021,Nagarjuna Reddy,Rabi,2025,Red Sandy Loam,Sandy,87,6.23,0.57,268,29,337,19.75,2.94,1.02,Good,
AP_ANP_00021,Nagarjuna Reddy,Summer,2025,Red Sandy Loam,Sandy,87,6.23,0.57,268,29,337,19.75,2.94,1.02,Good,
AP_ANP_00022,Venkat Ramaiah,Kharif,2025,Red Loamy Soil,Sandy,69,7.61,0.87,374,12,246,19.3,2.38,0.18,Moderate,
AP_ANP_00022,Venkat Ramaiah,Rabi,2025,Red Loamy Soil,Sandy,69,7.61,0.87,374,12,246,19.3,2.38,0.18,Moderate,
AP_ANP_00022,Venkat Ramaiah,Summer,2025,Red Loamy Soil,Sandy,69,7.61,0.87,374,12,246,19.3,2.38,0.18,Moderate,
AP_ANP_00023,Gopal Reddy,Kharif,2025,Clay Loam,Loamy,138,7.87,1.15,242,38,198,29.51,0.5,0.68,Good,
AP_ANP_00023,Gopal Reddy,Rabi,2025,Clay Loam,Loamy,138,7.87,1.15,242,38,198,29.51,0.5,0.68,Good,
AP_ANP_00023,Gopal Reddy,Summer,2025,Clay Loam,Loamy,138,7.87,1.15,242,38,198,29.51,0.5,0.68,Good,
AP_ANP_00024,Bhavani S,Kharif,2025,Sandy Loam,Loamy,64,6.99,1.04,216,47,273,7.43,1.96,1.98,Moderate,
AP_ANP_00024,Bhavani S,Rabi,2025,Sandy Loam,Loamy,64,6.99,1.04,216,47,273,7.43,1.96,1.98,Moderate,
AP_ANP_00024,Bhavani S,Summer,2025,Sandy Loam,Loamy,64,6.99,1.04,216,47,273,7.43,1.96,1.98,Moderate,
AP_ANP_00025,Ravi Teja,Kharif,2025,Red Loamy Soil,Loamy,129,7.85,0.9,192,46,269,25.23,2.49,1.75,Poor,
AP_ANP_00025,Ravi Teja,Rabi,2025,Red Loamy Soil,Loamy,129,7.85,0.9,192,46,269,25.23,2.49,1.75,Poor,
AP_ANP_00025,Ravi Teja,Summer,2025,Red Loamy Soil,Loamy,129,7.85,0.9,192,46,269,25.23,2.49,1.75,Poor,
AP_ANP_00026,Narasimha Rao,Kharif,2025,Red Sandy Loam,Sandy,59,7.62,0.9,293,21,242,14.39,0.55,1.2,Moderate,
AP_ANP_00026,Narasimha Rao,Rabi,2025,Red Sandy Loam,Sandy,59,7.62,0.9,293,21,242,14.39,0.55,1.2,Moderate,
AP_ANP_00026,Narasimha Rao,Summer,2025,Red Sandy Loam,Sandy,59,7.62,0.9,293,21,242,14.39,0.55,1.2,Moderate,
AP_ANP_00027,Anuradha V,Kharif,2025,Red Sandy Loam,Loamy,102,8.45,1.04,207,29,279,5.97,1.12,1.12,Poor,
AP_ANP_00027,Anuradha V,Rabi,2025,Red Sandy Loam,Loamy,102,8.45,1.04,207,29,279,5.97,1.12,1.12,Poor,
AP_ANP_00027,Anuradha V,Summer,2025,Red Sandy Loam,Loamy,102,8.45,1.04,207,29,279,5.97,1.12,1.12,Poor,
AP_ANP_00028,Krishna Murthy,Kharif,2025,Clay Loam,Sandy,142,6.21,0.25,265,37,146,22.49,0.67,0.35,Moderate,
AP_ANP_00028,Krishna Murthy,Rabi,2025,Clay Loam,Sandy,142,6.21,0.25,265,37,146,22.49,0.67,0.35,Moderate,
AP_ANP_00028,Krishna Murthy,Summer,2025,Clay Loam,Sandy,142,6.21,0.25,265,37,146,22.49,0.67,0.35,Moderate,
AP_ANP_00029,Padma Kumari,Kharif,2025,Sandy Loam,Sandy,159,6.68,0.64,332,33,328,9.61,0.52,0.91,Poor,
AP_ANP_00029,Padma Kumari,Rabi,2025,Sandy Loam,Sandy,159,6.68,0.64,332,33,328,9.61,0.52,0.91,Poor,
AP_ANP_00029,Padma Kumari,Summer,2025,Sandy Loam,Sandy,159,6.68,0.64,332,33,328,9.61,0.52,0.91,Poor,
AP_ANP_00030,Subba Rao,Kharif,2025,Red Loamy Soil,Loamy,40,7.11,0.44,267,32,336,12.0,2.88,1.5,Good,
AP_ANP_00030,Subba Rao,Rabi,2025,Red Loamy Soil,Loamy,40,7.11,0.44,267,32,336,12.0,2.88,1.5,Good,
AP_ANP_00030,Subba Rao,Summer,2025,Red Loamy Soil,Loamy,40,7.11,0.44,267,32,336,12.0,2.88,1.5,Good,
AP_ANP_00031,Vijayalakshmi,Kharif,2025,Clay Loam,Clay,106,6.62,0.56,378,29,284,13.55,0.55,0.28,Moderate,
AP_ANP_00031,Vijayalakshmi,Rabi,2025,Clay Loam,Clay,106,6.62,0.56,378,29,284,13.55,0.55,0.28,Moderate,
AP_ANP_00031,Vijayalakshmi,Summer,2025,Clay Loam,Clay,106,6.62,0.56,378,29,284,13.55,0.55,0.28,Moderate,
AP_ANP_00032,Nagarjuna Reddy,Kharif,2025,Black Cotton Soil,Sandy,115,6.04,0.96,234,46,199,9.33,1.47,0.86,Moderate,
AP_ANP_00032,Nagarjuna Reddy,Rabi,2025,Black Cotton Soil,Sandy,115,6.04,0.96,234,46,199,9.33,1.47,0.86,Moderate,
AP_ANP_00032,Nagarjuna Reddy,Summer,2025,Black Cotton Soil,Sandy,115,6.04,0.96,234,46,199,9.33,1.47,0.86,Moderate,
AP_ANP_00033,Venkat Ramaiah,Kharif,2025,Clay Loam,Loamy,91,6.94,0.83,335,39,356,18.48,2.15,1.27,Good,
AP_ANP_00033,Venkat Ramaiah,Rabi,2025,Clay Loam,Loamy,91,6.94,0.83,335,39,356,18.48,2.15,1.27,Good,
AP_ANP_00033,Venkat Ramaiah,Summer,2025,Clay Loam,Loamy,91,6.94,0.83,335,39,356,18.48,2.15,1.27,Good,
AP_ANP_00034,Gopal Reddy,Kharif,2025,Red Sandy Loam,Clay,123,7.44,0.59,273,40,278,25.52,1.99,1.66,Moderate,
AP_ANP_00034,Gopal Reddy,Rabi,2025,Red Sandy Loam,Clay,123,7.44,0.59,273,40,278,25.52,1.99,1.66,Moderate,
AP_ANP_00034,Gopal Reddy,Summer,2025,Red Sandy Loam,Clay,123,7.44,0.59,273,40,278,25.52,1.99,1.66,Moderate,
AP_ANP_00035,Bhavani S,Kharif,2025,Black Cotton Soil,Sandy,52,6.54,0.58,392,42,314,6.78,1.16,1.71,Moderate,
AP_ANP_00035,Bhavani S,Rabi,2025,Black Cotton Soil,Sandy,52,6.54,0.58,392,42,314,6.78,1.16,1.71,Moderate,
AP_ANP_00035,Bhavani S,Summer,2025,Black Cotton Soil,Sandy,52,6.54,0.58,392,42,314,6.78,1.16,1.71,Moderate,
AP_ANP_00036,Ravi Teja,Kharif,2025,Sandy Loam,Sandy,46,6.3,0.9,386,18,316,25.09,1.06,0.44,Poor,
AP_ANP_00036,Ravi Teja,Rabi,2025,Sandy Loam,Sandy,46,6.3,0.9,386,18,316,25.09,1.06,0.44,Poor,
AP_ANP_00036,Ravi Teja,Summer,2025,Sandy Loam,Sandy,46,6.3,0.9,386,18,316,25.09,1.06,0.44,Poor,
AP_ANP_00037,Narasimha Rao,Kharif,2025,Sandy Loam,Sandy,138,7.03,0.57,380,39,251,26.68,1.82,0.55,Good,
AP_ANP_00037,Narasimha Rao,Rabi,2025,Sandy Loam,Sandy,138,7.03,0.57,380,39,251,26.68,1.82,0.55,Good,
AP_ANP_00037,Narasimha Rao,Summer,2025,Sandy Loam,Sandy,138,7.03,0.57,380,39,251,26.68,1.82,0.55,Good,
AP_ANP_00038,Anuradha V,Kharif,2025,Red Sandy Loam,Clay,144,6.94,0.73,233,32,286,7.5,0.44,1.92,Good,
AP_ANP_00038,Anuradha V,Rabi,2025,Red Sandy Loam,Clay,144,6.94,0.73,233,32,286,7.5,0.44,1.92,Good,
AP_ANP_00038,Anuradha V,Summer,2025,Red Sandy Loam,Clay,144,6.94,0.73,233,32,286,7.5,0.44,1.92,Good,
AP_ANP_00039,Krishna Murthy,Kharif,2025,Red Sandy Loam,Clay,67,8.38,1.15,232,23,168,12.33,1.19,1.38,Poor,
AP_ANP_00039,Krishna Murthy,Rabi,2025,Red Sandy Loam,Clay,67,8.38,1.15,232,23,168,12.33,1.19,1.38,Poor,
AP_ANP_00039,Krishna Murthy,Summer,2025,Red Sandy Loam,Clay,67,8.38,1.15,232,23,168,12.33,1.19,1.38,Poor,
AP_ANP_00040,Ramesh Kumar,Kharif,2025,Red Sandy Loam,Clay,148,8.33,1.17,291,38,221,16.04,2.7,0.77,Moderate,
AP_ANP_00040,Ramesh Kumar,Rabi,2025,Red Sandy Loam,Clay,148,8.33,1.17,291,38,221,16.04,2.7,0.77,Moderate,
AP_ANP_00040,Ramesh Kumar,Summer,2025,Red Sandy Loam,Clay,148,8.33,1.17,291,38,221,16.04,2.7,0.77,Moderate,
AP_ANP_00041,Subba Rao,Kharif,2025,Black Cotton Soil,Sandy,113,8.09,1.07,379,14,273,22.52,0.5,1.66,Moderate,
AP_ANP_00041,Subba Rao,Rabi,2025,Black Cotton Soil,Sandy,113,8.09,1.07,379,14,273,22.52,0.5,1.66,Moderate,
AP_ANP_00041,Subba Rao,Summer,2025,Black Cotton Soil,Sandy,113,8.09,1.07,379,14,273,22.52,0.5,1.66,Moderate,
AP_ANP_00042,Vijayalakshmi,Kharif,2025,Clay Loam,Sandy,76,6.58,0.78,258,8,244,28.68,2.96,1.53,Moderate,
AP_ANP_00042,Vijayalakshmi,Rabi,2025,Clay Loam,Sandy,76,6.58,0.78,258,8,244,28.68,2.96,1.53,Moderate,
AP_ANP_00042,Vijayalakshmi,Summer,2025,Clay Loam,Sandy,76,6.58,0.78,258,8,244,28.68,2.96,1.53,Moderate,
AP_ANP_00043,Nagarjuna Reddy,Kharif,2025,Sandy Loam,Sandy,147,7.4,0.62,239,26,138,15.86,0.98,0.87,Moderate,
AP_ANP_00043,Nagarjuna Reddy,Rabi,2025,Sandy Loam,Sandy,147,7.4,0.62,239,26,138,15.86,0.98,0.87,Moderate,
AP_ANP_00043,Nagarjuna Reddy,Summer,2025,Sandy Loam,Sandy,147,7.4,0.62,239,26,138,15.86,0.98,0.87,Moderate,
AP_ANP_00044,Venkat Ramaiah,Kharif,2025,Black Cotton Soil,Sandy,144,7.86,0.88,241,32,216,29.08,0.33,1.94,Poor,
AP_ANP_00044,Venkat Ramaiah,Rabi,2025,Black Cotton Soil,Sandy,144,7.86,0.88,241,32,216,29.08,0.33,1.94,Poor,
AP_ANP_00044,Venkat Ramaiah,Summer,2025,Black Cotton Soil,Sandy,144,7.86,0.88,241,32,216,29.08,0.33,1.94,Poor,
AP_ANP_00045,Gopal Reddy,Kharif,2025,Clay Loam,Loamy,124,8.48,0.27,376,26,119,6.89,0.75,0.51,Good,
AP_ANP_00045,Gopal Reddy,Rabi,2025,Clay Loam,Loamy,124,8.48,0.27,376,26,119,6.89,0.75,0.51,Good,
AP_ANP_00045,Gopal Reddy,Summer,2025,Clay Loam,Loamy,124,8.48,0.27,376,26,119,6.89,0.75,0.51,Good,
AP_ANP_00046,Bhavani S,Kharif,2025,Red Sandy Loam,Sandy,93,7.46,1.1,334,18,111,28.97,0.46,0.85,Poor,
AP_ANP_00046,Bhavani S,Rabi,2025,Red Sandy Loam,Sandy,93,7.46,1.1,334,18,111,28.97,0.46,0.85,Poor,
AP_ANP_00046,Bhavani S,Summer,2025,Red Sandy Loam,Sandy,93,7.46,1.1,334,18,111,28.97,0.46,0.85,Poor,
AP_ANP_00047,Ravi Teja,Kharif,2025,Red Loamy Soil,Loamy,47,6.88,0.78,369,44,140,11.5,1.52,0.16,Poor,
AP_ANP_00047,Ravi Teja,Rabi,2025,Red Loamy Soil,Loamy,47,6.88,0.78,369,44,140,11.5,1.52,0.16,Poor,
AP_ANP_00047,Ravi Teja,Summer,2025,Red Loamy Soil,Loamy,47,6.88,0.78,369,44,140,11.5,1.52,0.16,Poor,
AP_ANP_00048,Narasimha Rao,Kharif,2025,Clay Loam,Sandy,131,6.68,0.33,184,13,181,15.42,1.87,1.85,Moderate,
AP_ANP_00048,Narasimha Rao,Rabi,2025,Clay Loam,Sandy,131,6.68,0.33,184,13,181,15.42,1.87,1.85,Moderate,
AP_ANP_00048,Narasimha Rao,Summer,2025,Clay Loam,Sandy,131,6.68,0.33,184,13,181,15.42,1.87,1.85,Moderate,
AP_ANP_00049,Anuradha V,Kharif,2025,Red Loamy Soil,Clay,148,6.41,0.61,267,8,245,29.68,0.71,1.23,Good,
AP_ANP_00049,Anuradha V,Rabi,2025,Red Loamy Soil,Clay,148,6.41,0.61,267,8,245,29.68,0.71,1.23,Good,
AP_ANP_00049,Anuradha V,Summer,2025,Red Loamy Soil,Clay,148,6.41,0.61,267,8,245,29.68,0.71,1.23,Good,
AP_ANP_00050,Suresh Naidu,Kharif,2025,Sandy Loam,Clay,88,8.1,0.67,248,8,105,22.29,1.74,1.52,Good,
AP_ANP_00050,Suresh Naidu,Rabi,2025,Sandy Loam,Clay,88,8.1,0.67,248,8,105,22.29,1.74,1.52,Good,
AP_ANP_00050,Suresh Naidu,Summer,2025,Sandy Loam,Clay,88,8.1,0.67,248,8,105,22.29,1.74,1.52,Good,
AP_ANP_00051,Ramesh Kumar,Kharif,2025,Clay Loam,Sandy,76,7.89,0.58,234,21,100,28.85,1.94,0.53,Poor,
AP_ANP_00051,Ramesh Kumar,Rabi,2025,Clay Loam,Sandy,76,7.89,0.58,234,21,100,28.85,1.94,0.53,Poor,
AP_ANP_00051,Ramesh Kumar,Summer,2025,Clay Loam,Sandy,76,7.89,0.58,234,21,100,28.85,1.94,0.53,Poor,
AP_ANP_00052,Subba Rao,Kharif,2025,Red Loamy Soil,Clay,111,6.06,0.7,331,10,367,25.41,2.91,0.27,Good,
AP_ANP_00052,Subba Rao,Rabi,2025,Red Loamy Soil,Clay,111,6.06,0.7,331,10,367,25.41,2.91,0.27,Good,
AP_ANP_00052,Subba Rao,Summer,2025,Red Loamy Soil,Clay,111,6.06,0.7,331,10,367,25.41,2.91,0.27,Good,
AP_ANP_00053,Vijayalakshmi,Kharif,2025,Clay Loam,Sandy,53,7.76,0.41,315,41,393,20.2,2.02,1.15,Good,
AP_ANP_00053,Vijayalakshmi,Rabi,2025,Clay Loam,Sandy,53,7.76,0.41,315,41,393,20.2,2.02,1.15,Good,
AP_ANP_00053,Vijayalakshmi,Summer,2025,Clay Loam,Sandy,53,7.76,0.41,315,41,393,20.2,2.02,1.15,Good,
AP_ANP_00054,Nagarjuna Reddy,Kharif,2025,Black Cotton Soil,Sandy,77,7.13,1.11,179,49,150,22.44,2.45,0.97,Poor,
AP_ANP_00054,Nagarjuna Reddy,Rabi,2025,Black Cotton Soil,Sandy,77,7.13,1.11,179,49,150,22.44,2.45,0.97,Poor,
AP_ANP_00054,Nagarjuna Reddy,Summer,2025,Black Cotton Soil,Sandy,77,7.13,1.11,179,49,150,22.44,2.45,0.97,Poor,
AP_ANP_00055,Venkat Ramaiah,Kharif,2025,Red Sandy Loam,Sandy,73,7.55,0.55,275,50,142,11.0,0.5,0.34,Good,
AP_ANP_00055,Venkat Ramaiah,Rabi,2025,Red Sandy Loam,Sandy,73,7.55,0.55,275,50,142,11.0,0.5,0.34,Good,
AP_ANP_00055,Venkat Ramaiah,Summer,2025,Red Sandy Loam,Sandy,73,7.55,0.55,275,50,142,11.0,0.5,0.34,Good,
AP_ANP_00056,Gopal Reddy,Kharif,2025,Sandy Loam,Loamy,55,7.6,0.38,333,32,294,26.86,1.69,1.95,Poor,
AP_ANP_00056,Gopal Reddy,Rabi,2025,Sandy Loam,Loamy,55,7.6,0.38,333,32,294,26.86,1.69,1.95,Poor,
AP_ANP_00056,Gopal Reddy,Summer,2025,Sandy Loam,Loamy,55,7.6,0.38,333,32,294,26.86,1.69,1.95,Poor,
AP_ANP_00057,Bhavani S,Kharif,2025,Sandy Loam,Sandy,44,6.86,0.55,171,28,100,18.36,1.26,1.8,Poor,
AP_ANP_00057,Bhavani S,Rabi,2025,Sandy Loam,Sandy,44,6.86,0.55,171,28,100,18.36,1.26,1.8,Poor,
AP_ANP_00057,Bhavani S,Summer,2025,Sandy Loam,Sandy,44,6.86,0.55,171,28,100,18.36,1.26,1.8,Poor,
AP_ANP_00058,Ravi Teja,Kharif,2025,Red Loamy Soil,Sandy,66,6.1,1.0,270,29,338,17.79,0.72,0.82,Poor,
AP_ANP_00058,Ravi Teja,Rabi,2025,Red Loamy Soil,Sandy,66,6.1,1.0,270,29,338,17.79,0.72,0.82,Poor,
AP_ANP_00058,Ravi Teja,Summer,2025,Red Loamy Soil,Sandy,66,6.1,1.0,270,29,338,17.79,0.72,0.82,Poor,
AP_ANP_00059,Narasimha Rao,Kharif,2025,Black Cotton Soil,Sandy,47,7.87,0.38,356,29,113,20.46,1.3,0.98,Poor,
AP_ANP_00059,Narasimha Rao,Rabi,2025,Black Cotton Soil,Sandy,47,7.87,0.38,356,29,113,20.46,1.3,0.98,Poor,
AP_ANP_00059,Narasimha Rao,Summer,2025,Black Cotton Soil,Sandy,47,7.87,0.38,356,29,113,20.46,1.3,0.98,Poor,
AP_ANP_00060,Lakshmi Reddy,Kharif,2025,Sandy Loam,Clay,46,7.72,1.04,256,25,393,18.32,0.95,0.61,Poor,
AP_ANP_00060,Lakshmi Reddy,Rabi,2025,Sandy Loam,Clay,46,7.72,1.04,256,25,393,18.32,0.95,0.61,Poor,
AP_ANP_00060,Lakshmi Reddy,Summer,2025,Sandy Loam,Clay,46,7.72,1.04,256,25,393,18.32,0.95,0.61,Poor,
AP_ANP_00061,Suresh Naidu,Kharif,2025,Red Loamy Soil,Clay,96,8.1,0.29,275,32,244,13.57,1.58,0.77,Poor,
AP_ANP_00061,Suresh Naidu,Rabi,2025,Red Loamy Soil,Clay,96,8.1,0.29,275,32,244,13.57,1.58,0.77,Poor,
AP_ANP_00061,Suresh Naidu,Summer,2025,Red Loamy Soil,Clay,96,8.1,0.29,275,32,244,13.57,1.58,0.77,Poor,
AP_ANP_00062,Ramesh Kumar,Kharif,2025,Red Loamy Soil,Clay,139,7.34,0.79,157,47,335,8.19,1.07,0.79,Moderate,
AP_ANP_00062,Ramesh Kumar,Rabi,2025,Red Loamy Soil,Clay,139,7.34,0.79,157,47,335,8.19,1.07,0.79,Moderate,
AP_ANP_00062,Ramesh Kumar,Summer,2025,Red Loamy Soil,Clay,139,7.34,0.79,157,47,335,8.19,1.07,0.79,Moderate,
AP_ANP_00063,Subba Rao,Kharif,2025,Sandy Loam,Clay,148,6.83,1.13,330,29,376,8.82,0.96,0.41,Good,
