parcel_id,farmer_name,district,mandal,village,survey_no,latitude,longitude,land_area_acres,irrigation_type,soil_type,season,year,crop_type,crop_stage,previous_crop
AP_ANP_00007,Padma Kumari,Anantapur,Beluguppa,Duddekunta,SY-1007,14.756827,77.096626,0.98,Rainfed,Black Soil,Kharif,2025,Cotton,Maturity,
AP_ANP_00007,Padma Kumari,Anantapur,Beluguppa,Duddekunta,SY-1007,14.756827,77.096626,0.98,Rainfed,Black Soil,Rabi,2025,Sunflower,Sowing,
AP_ANP_00007,Padma Kumari,Anantapur,Beluguppa,Duddekunta,SY-1007,14.756827,77.096626,0.98,Borewell,Red Sandy Loam,Summer,2025,Maize,Sowing,
AP_ANP_00008,Srinivas Reddy,Anantapur,Peddavaduguru,Kottapalli,SY-1008,15.022634,77.616331,5.83,Rainfed,Sandy Loam,Kharif,2025,Red Gram,Flowering,
AP_ANP_00008,Srinivas Reddy,Anantapur,Peddavaduguru,Kottapalli,SY-1008,15.022634,77.616331,5.83,Rainfed,Clay Loam,Rabi,2025,Bengal Gram,Vegetative,
AP_ANP_00008,Srinivas Reddy,Anantapur,Peddavaduguru,Kottapalli,SY-1008,15.022634,77.616331,5.83,Rainfed,Sandy Loam,Summer,2025,Groundnut,Flowering,
AP_ANP_00009,Venkatesh Rao,Anantapur,Bukkaraya Samudram,Bukkaraya Samudram,SY-1009,14.705199,77.618458,1.71,Borewell,Red Sandy Loam,Kharif,2025,Red Gram,Sowing,
AP_ANP_00009,Venkatesh Rao,Anantapur,Bukkaraya Samudram,Bukkaraya Samudram,SY-1009,14.705199,77.618458,1.71,Borewell,Clay Loam,Rabi,2025,Maize,Maturity,
AP_ANP_00009,Venkatesh Rao,Anantapur,Bukkaraya Samudram,Bukkaraya Samudram,SY-1009,14.705199,77.618458,1.71,Borewell,Red Loamy,Summer,2025,Sunflower,Flowering,
AP_ANP_00010,Nagarjuna Reddy,Anantapur,Anantapur Urban,Narayanapuram,SY-1010,14.659775,77.561708,2.21,Rainfed,Sandy Loam,Kharif,2025,Cotton,Sowing,
AP_ANP_00010,Nagarjuna Reddy,Anantapur,Anantapur Urban,Narayanapuram,SY-1010,14.659775,77.561708,2.21,Rainfed,Black Soil,Rabi,2025,Sunflower,Sowing,
AP_ANP_00010,Nagarjuna Reddy,Anantapur,Anantapur Urban,Narayanapuram,SY-1010,14.659775,77.561708,2.21,Rainfed,Black Soil,Summer,2025,Sunflower,Vegetative,
AP_ANP_00011,Venkat Ramaiah,Anantapur,Brahmasamudram,Kannepalli,SY-1011,14.534018,77.020097,5.77,Rainfed,Red Loamy,Kharif,2025,Groundnut,Maturity,
AP_ANP_00011,Venkat Ramaiah,Anantapur,Brahmasamudram,Kannepalli,SY-1011,14.534018,77.020097,5.77,Rainfed,Red Loamy,Rabi,2025,Maize,Flowering,
AP_ANP_00011,Venkat Ramaiah,Anantapur,Brahmasamudram,Kannepalli,SY-1011,14.534018,77.020097,5.77,Rainfed,Red Sandy Loam,Summer,2025,Groundnut,Flowering,
AP_ANP_00012,Gopal Reddy,Anantapur,Brahmasamudram,Muthanakuntla,SY-1012,14.514457,77.031274,2.59,Borewell,Red Loamy,Kharif,2025,Groundnut,Sowing,
AP_ANP_00012,Gopal Reddy,Anantapur,Brahmasamudram,Muthanakuntla,SY-1012,14.514457,77.031274,2.59,Rainfed,Clay Loam,Rabi,2025,Maize,Flowering,
AP_ANP_00012,Gopal Reddy,Anantapur,Brahmasamudram,Muthanakuntla,SY-1012,14.514457,77.031274,2.59,Rainfed,Red Sandy Loam,Summer,2025,Maize,Flowering,
AP_ANP_00013,Bhavani S,Anantapur,Singanamala,Tarikonda,SY-1013,14.766862,77.753482,3.49,Rainfed,Black Soil,Kharif,2025,Groundnut,Vegetative,
AP_ANP_00013,Bhavani S,Anantapur,Singanamala,Tarikonda,SY-1013,14.766862,77.753482,3.49,Borewell,Clay Loam,Rabi,2025,Sorghum,Flowering,
AP_ANP_00013,Bhavani S,Anantapur,Singanamala,Tarikonda,SY-1013,14.766862,77.753482,3.49,Rainfed,Black Soil,Summer,2025,Vegetables,Flowering,
AP_ANP_00014,Ravi Teja,Anantapur,Beluguppa,Thogarakunta,SY-1014,14.751346,77.177885,5.68,Borewell,Black Soil,Kharif,2025,Red Gram,Maturity,
AP_ANP_00014,Ravi Teja,Anantapur,Beluguppa,Thogarakunta,SY-1014,14.751346,77.177885,5.68,Rainfed,Red Loamy,Rabi,2025,Bengal Gram,Flowering,
AP_ANP_00014,Ravi Teja,Anantapur,Beluguppa,Thogarakunta,SY-1014,14.751346,77.177885,5.68,Borewell,Red Loamy,Summer,2025,Maize,Maturity,
AP_ANP_00015,Narasimha Rao,Anantapur,Peddapappur,Pasilur,SY-1015,14.920313,77.824959,1.2,Rainfed,Black Soil,Kharif,2025,Pearl Millet,Flowering,
AP_ANP_00015,Narasimha Rao,Anantapur,Peddapappur,Pasilur,SY-1015,14.920313,77.824959,1.2,Rainfed,Black Soil,Rabi,2025,Bengal Gram,Maturity,
AP_ANP_00015,Narasimha Rao,Anantapur,Peddapappur,Pasilur,SY-1015,14.920313,77.824959,1.2,Borewell,Red Sandy Loam,Summer,2025,Vegetables,Maturity,
AP_ANP_00016,Anuradha V,Anantapur,Peddavaduguru,Peddavaduguru,SY-1016,14.999892,77.636111,5.52,Rainfed,Red Sandy Loam,Kharif,2025,Cotton,Flowering,
AP_ANP_00016,Anuradha V,Anantapur,Peddavaduguru,Peddavaduguru,SY-1016,14.999892,77.636111,5.52,Rainfed,Red Loamy,Rabi,2025,Bengal Gram,Vegetative,
AP_ANP_00016,Anuradha V,Anantapur,Peddavaduguru,Peddavaduguru,SY-1016,14.999892,77.636111,5.52,Rainfed,Sandy Loam,Summer,2025,Sunflower,Sowing,
AP_ANP_00017,Krishna Murthy,Anantapur,Peddapappur,Dharmapuram,SY-1017,14.910392,77.814359,3.25,Borewell,Red Sandy Loam,Kharif,2025,Foxtail Millet,Maturity,
AP_ANP_00017,Krishna Murthy,Anantapur,Peddapappur,Dharmapuram,SY-1017,14.910392,77.814359,3.25,Rainfed,Sandy Loam,Rabi,2025,Maize,Flowering,
AP_ANP_00017,Krishna Murthy,Anantapur,Peddapappur,Dharmapuram,SY-1017,14.910392,77.814359,3.25,Borewell,Black Soil,Summer,2025,Sunflower,Vegetative,
AP_ANP_00018,Padma Kumari,Anantapur,Guntakal,Kasapuram,SY-1018,15.147597,77.372855,2.23,Rainfed,Red Sandy Loam,Kharif,2025,Foxtail Millet,Maturity,
AP_ANP_00018,Padma Kumari,Anantapur,Guntakal,Kasapuram,SY-1018,15.147597,77.372855,2.23,Canal,Sandy Loam,Rabi,2025,Bengal Gram,Vegetative,
AP_ANP_00018,Padma Kumari,Anantapur,Guntakal,Kasapuram,SY-1018,15.147597,77.372855,2.23,Borewell,Clay Loam,Summer,2025,Groundnut,Sowing,
AP_ANP_00019,Srinivas Reddy,Anantapur,Putlur,Putlur,SY-1019,14.782172,77.934188,7.85,Rainfed,Sandy Loam,Kharif,2025,Pearl Millet,Maturity,
AP_ANP_00019,Srinivas Reddy,Anantapur,Putlur,Putlur,SY-1019,14.782172,77.934188,7.85,Rainfed,Red Loamy,Rabi,2025,Bengal Gram,Sowing,
AP_ANP_00019,Srinivas Reddy,Anantapur,Putlur,Putlur,SY-1019,14.782172,77.934188,7.85,Borewell,Red Loamy,Summer,2025,Sunflower,Flowering,
AP_ANP_00020,Vijayalakshmi,Anantapur,Kanekal,Nagalapuram,SY-1020,14.763169,77.004881,1.55,Rainfed,Red Loamy,Kharif,2025,Foxtail Millet,Sowing,
AP_ANP_00020,Vijayalakshmi,Anantapur,Kanekal,Nagalapuram,SY-1020,14.763169,77.004881,1.55,Rainfed,Sandy Loam,Rabi,2025,Bengal Gram,Vegetative,
AP_ANP_00020,Vijayalakshmi,Anantapur,Kanekal,Nagalapuram,SY-1020,14.763169,77.004881,1.55,Rainfed,Red Loamy,Summer,2025,Maize,Sowing,
AP_ANP_00021,Nagarjuna Reddy,Anantapur,Guntakal,Kasapuram,SY-1021,15.214436,77.376922,5.21,Borewell,Clay Loam,Kharif,2025,Pearl Millet,Flowering,
AP_ANP_00021,Nagarjuna Reddy,Anantapur,Guntakal,Kasapuram,SY-1021,15.214436,77.376922,5.21,Rainfed,Black Soil,Rabi,2025,Maize,Sowing,
AP_ANP_00021,Nagarjuna Reddy,Anantapur,Guntakal,Kasapuram,SY-1021,15.214436,77.376922,5.21,Rainfed,Sandy Loam,Summer,2025,Sunflower,Vegetative,
AP_ANP_00022,Venkat Ramaiah,Anantapur,D. Hirehal,Hindupur,SY-1022,15.080077,76.918344,6.67,Rainfed,Sandy Loam,Kharif,2025,Cotton,Sowing,
AP_ANP_00022,Venkat Ramaiah,Anantapur,D. Hirehal,Hindupur,SY-1022,15.080077,76.918344,6.67,Rainfed,Clay Loam,Rabi,2025,Sorghum,Sowing,
AP_ANP_00022,Venkat Ramaiah,Anantapur,D. Hirehal,Hindupur,SY-1022,15.080077,76.918344,6.67,Rainfed,Sandy Loam,Summer,2025,Maize,Maturity,
AP_ANP_00023,Gopal Reddy,Anantapur,Pamidi,Kalluru,SY-1023,14.944754,77.57204,5.95,Canal,Red Loamy,Kharif,2025,Paddy,Vegetative,
AP_ANP_00023,Gopal Reddy,Anantapur,Pamidi,Kalluru,SY-1023,14.944754,77.57204,5.95,Borewell,Black Soil,Rabi,2025,Sunflower,Maturity,
AP_ANP_00023,Gopal Reddy,Anantapur,Pamidi,Kalluru,SY-1023,14.944754,77.57204,5.95,Rainfed,Sandy Loam,Summer,2025,Sunflower,Vegetative,
AP_ANP_00024,Bhavani S,Anantapur,Raptadu,Bukkacherla,SY-1024,14.627068,77.653294,0.94,Rainfed,Red Loamy,Kharif,2025,Red Gram,Maturity,
AP_ANP_00024,Bhavani S,Anantapur,Raptadu,Bukkacherla,SY-1024,14.627068,77.653294,0.94,Borewell,Sandy Loam,Rabi,2025,Bengal Gram,Sowing,
AP_ANP_00024,Bhavani S,Anantapur,Raptadu,Bukkacherla,SY-1024,14.627068,77.653294,0.94,Rainfed,Sandy Loam,Summer,2025,Vegetables,Vegetative,
AP_ANP_00025,Ravi Teja,Anantapur,Settur,Cherlopalli,SY-1025,14.381663,76.952503,6.18,Rainfed,Clay Loam,Kharif,2025,Groundnut,Sowing,
AP_ANP_00025,Ravi Teja,Anantapur,Settur,Cherlopalli,SY-1025,14.381663,76.952503,6.18,Rainfed,Clay Loam,Rabi,2025,Bengal Gram,Sowing,
AP_ANP_00025,Ravi Teja,Anantapur,Settur,Cherlopalli,SY-1025,14.381663,76.952503,6.18,Rainfed,Red Loamy,Summer,2025,Vegetables,Maturity,
AP_ANP_00026,Narasimha Rao,Anantapur,Peddavaduguru,Chinnivaduguru,SY-1026,15.043532,77.703653,0.86,Borewell,Red Loamy,Kharif,2025,Cotton,Maturity,
AP_ANP_00026,Narasimha Rao,Anantapur,Peddavaduguru,Chinnivaduguru,SY-1026,15.043532,77.703653,0.86,Borewell,Red Loamy,Rabi,2025,Groundnut,Maturity,
AP_ANP_00026,Narasimha Rao,Anantapur,Peddavaduguru,Chinnivaduguru,SY-1026,15.043532,77.703653,0.86,Rainfed,Sandy Loam,Summer,2025,Groundnut,Maturity,
AP_ANP_00027,Anuradha V,Anantapur,Narpala,Siddarampuram,SY-1027,14.714604,77.761453,7.0,Borewell,Clay Loam,Kharif,2025,Foxtail Millet,Vegetative,
AP_ANP_00027,Anuradha V,Anantapur,Narpala,Siddarampuram,SY-1027,14.714604,77.761453,7.0,Borewell,Red Sandy Loam,Rabi,2025,Sunflower,Sowing,
AP_ANP_00027,Anuradha V,Anantapur,Narpala,Siddarampuram,SY-1027,14.714604,77.761453,7.0,Borewell,Clay Loam,Summer,2025,Maize,Flowering,
AP_ANP_00028,Krishna Murthy,Anantapur,Bukkaraya Samudram,Chedulla,SY-1028,14.748026,77.688698,5.14,Borewell,Sandy Loam,Kharif,2025,Groundnut,Vegetative,
AP_ANP_00028,Krishna Murthy,Anantapur,Bukkaraya Samudram,Chedulla,SY-1028,14.748026,77.688698,5.14,Rainfed,Red Loamy,Rabi,2025,Groundnut,Flowering,
AP_ANP_00028,Krishna Murthy,Anantapur,Bukkaraya Samudram,Chedulla,SY-1028,14.748026,77.688698,5.14,Rainfed,Red Loamy,Summer,2025,Groundnut,Sowing,
AP_ANP_00029,Padma Kumari,Anantapur,Peddapappur,Peddapappur,SY-1029,14.935402,77.866831,3.63,Rainfed,Red Loamy,Kharif,2025,Paddy,Sowing,
AP_ANP_00029,Padma Kumari,Anantapur,Peddapappur,Peddapappur,SY-1029,14.935402,77.866831,3.63,Rainfed,Black Soil,Rabi,2025,Bengal Gram,Sowing,
AP_ANP_00029,Padma Kumari,Anantapur,Peddapappur,Peddapappur,SY-1029,14.935402,77.866831,3.63,Rainfed,Red Loamy,Summer,2025,Maize,Sowing,
AP_ANP_00030,Subba Rao,Anantapur,Bukkaraya Samudram,Govindapalli,SY-1030,14.715417,77.612363,5.6,Rainfed,Red Sandy Loam,Kharif,2025,Groundnut,Sowing,
AP_ANP_00030,Subba Rao,Anantapur,Bukkaraya Samudram,Govindapalli,SY-1030,14.715417,77.612363,5.6,Borewell,Sandy Loam,Rabi,2025,Maize,Flowering,
AP_ANP_00030,Subba Rao,Anantapur,Bukkaraya Samudram,Govindapalli,SY-1030,14.715417,77.612363,5.6,Rainfed,Clay Loam,Summer,2025,Maize,Sowing,
AP_ANP_00031,Vijayalakshmi,Anantapur,Gummagatta,Gummagatta,SY-1031,14.668868,76.937127,4.8,Rainfed,Clay Loam,Kharif,2025,Paddy,Sowing,
AP_ANP_00031,Vijayalakshmi,Anantapur,Gummagatta,Gummagatta,SY-1031,14.668868,76.937127,4.8,Borewell,Clay Loam,Rabi,2025,Maize,Sowing,
AP_ANP_00031,Vijayalakshmi,Anantapur,Gummagatta,Gummagatta,SY-1031,14.668868,76.937127,4.8,Borewell,Sandy Loam,Summer,2025,Maize,Sowing,
AP_ANP_00032,Nagarjuna Reddy,Anantapur,Guntakal,Kasapuram,SY-1032,15.209395,77.326326,6.03,Rainfed,Red Loamy,Kharif,2025,Paddy,Flowering,
AP_ANP_00032,Nagarjuna Reddy,Anantapur,Guntakal,Kasapuram,SY-1032,15.209395,77.326326,6.03,Borewell,Red Loamy,Rabi,2025,Maize,Maturity,
AP_ANP_00032,Nagarjuna Reddy,Anantapur,Guntakal,Kasapuram,SY-1032,15.209395,77.326326,6.03,Rainfed,Sandy Loam,Summer,2025,Groundnut,Maturity,
AP_ANP_00033,Venkat Ramaiah,Anantapur,Gummagatta,Gummagatta,SY-1033,14.659253,76.903655,1.11,Rainfed,Sandy Loam,Kharif,2025,Paddy,Sowing,
AP_ANP_00033,Venkat Ramaiah,Anantapur,Gummagatta,Gummagatta,SY-1033,14.659253,76.903655,1.11,Rainfed,Red Sandy Loam,Rabi,2025,Maize,Sowing,
AP_ANP_00033,Venkat Ramaiah,Anantapur,Gummagatta,Gummagatta,SY-1033,14.659253,76.903655,1.11,Rainfed,Clay Loam,Summer,2025,Vegetables,Flowering,
AP_ANP_00034,Gopal Reddy,Anantapur,Brahmasamudram,Muthanakuntla,SY-1034,14.545762,76.996825,7.3,Rainfed,Sandy Loam,Kharif,2025,Cotton,Vegetative,
AP_ANP_00034,Gopal Reddy,Anantapur,Brahmasamudram,Muthanakuntla,SY-1034,14.545762,76.996825,7.3,Rainfed,Clay Loam,Rabi,2025,Maize,Maturity,
AP_ANP_00034,Gopal Reddy,Anantapur,Brahmasamudram,Muthanakuntla,SY-1034,14.545762,76.996825,7.3,Rainfed,Red Sandy Loam,Summer,2025,Vegetables,Flowering,
AP_ANP_00035,Bhavani S,Anantapur,Vidapanakal,Vidapanakal,SY-1035,14.963073,77.261399,1.12,Rainfed,Red Loamy,Kharif,2025,Groundnut,Maturity,
AP_ANP_00035,Bhavani S,Anantapur,Vidapanakal,Vidapanakal,SY-1035,14.963073,77.261399,1.12,Canal,Sandy Loam,Rabi,2025,Sorghum,Flowering,
AP_ANP_00035,Bhavani S,Anantapur,Vidapanakal,Vidapanakal,SY-1035,14.963073,77.261399,1.12,Rainfed,Sandy Loam,Summer,2025,Groundnut,Flowering,
AP_ANP_00036,Ravi Teja,Anantapur,Kudair,Gotluru,SY-1036,14.705941,77.423289,1.07,Rainfed,Red Sandy Loam,Kharif,2025,Groundnut,Sowing,
AP_ANP_00036,Ravi Teja,Anantapur,Kudair,Gotluru,SY-1036,14.705941,77.423289,1.07,Borewell,Red Sandy Loam,Rabi,2025,Sunflower,Flowering,
AP_ANP_00036,Ravi Teja,Anantapur,Kudair,Gotluru,SY-1036,14.705941,77.423289,1.07,Canal,Clay Loam,Summer,2025,Vegetables,Maturity,
AP_ANP_00037,Narasimha Rao,Anantapur,Vidapanakal,Vidapanakal,SY-1037,15.007457,77.265435,3.41,Rainfed,Clay Loam,Kharif,2025,Pearl Millet,Sowing,
AP_ANP_00037,Narasimha Rao,Anantapur,Vidapanakal,Vidapanakal,SY-1037,15.007457,77.265435,3.41,Rainfed,Black Soil,Rabi,2025,Bengal Gram,Vegetative,
AP_ANP_00037,Narasimha Rao,Anantapur,Vidapanakal,Vidapanakal,SY-1037,15.007457,77.265435,3.41,Rainfed,Red Sandy Loam,Summer,2025,Maize,Sowing,
AP_ANP_00038,Anuradha V,Anantapur,Garladinne,Kalluru,SY-1038,14.798033,77.631023,7.62,Borewell,Red Loamy,Kharif,2025,Paddy,Vegetative,
AP_ANP_00038,Anuradha V,Anantapur,Garladinne,Kalluru,SY-1038,14.798033,77.631023,7.62,Rainfed,Sandy Loam,Rabi,2025,Groundnut,Flowering,
AP_ANP_00038,Anuradha V,Anantapur,Garladinne,Kalluru,SY-1038,14.798033,77.631023,7.62,Rainfed,Red Sandy Loam,Summer,2025,Vegetables,Vegetative,
AP_ANP_00039,Krishna Murthy,Anantapur,Peddapappur,Pasilur,SY-1039,14.921846,77.807172,3.36,Borewell,Red Sandy Loam,Kharif,2025,Cotton,Sowing,
AP_ANP_00039,Krishna Murthy,Anantapur,Peddapappur,Pasilur,SY-1039,14.921846,77.807172,3.36,Rainfed,Black Soil,Rabi,2025,Bengal Gram,Flowering,
AP_ANP_00039,Krishna Murthy,Anantapur,Peddapappur,Pasilur,SY-1039,14.921846,77.807172,3.36,Rainfed,Clay Loam,Summer,2025,Groundnut,Sowing,
AP_ANP_00040,Ramesh Kumar,Anantapur,Gummagatta,Gummagatta,SY-1040,14.63829,76.918745,4.89,Borewell,Red Loamy,Kharif,2025,Paddy,Flowering,
AP_ANP_00040,Ramesh Kumar,Anantapur,Gummagatta,Gummagatta,SY-1040,14.63829,76.918745,4.89,Rainfed,Red Sandy Loam,Rabi,2025,Bengal Gram,Vegetative,
AP_ANP_00040,Ramesh Kumar,Anantapur,Gummagatta,Gummagatta,SY-1040,14.63829,76.918745,4.89,Canal,Sandy Loam,Summer,2025,Groundnut,Maturity,
AP_ANP_00041,Subba Rao,Anantapur,Uravakonda,Renimakulapalle,SY-1041,14.921289,77.276275,0.67,Rainfed,Black Soil,Kharif,2025,Red Gram,Flowering,
AP_ANP_00041,Subba Rao,Anantapur,Uravakonda,Renimakulapalle,SY-1041,14.921289,77.276275,0.67,Borewell,Clay Loam,Rabi,2025,Groundnut,Sowing,
AP_ANP_00041,Subba Rao,Anantapur,Uravakonda,Renimakulapalle,SY-1041,14.921289,77.276275,0.67,Borewell,Red Sandy Loam,Summer,2025,Sunflower,Sowing,
AP_ANP_00042,Vijayalakshmi,Anantapur,Bommanahal,Govindawada,SY-1042,14.974308,76.978729,5.3,Rainfed,Clay Loam,Kharif,2025,Foxtail Millet,Vegetative,
AP_ANP_00042,Vijayalakshmi,Anantapur,Bommanahal,Govindawada,SY-1042,14.974308,76.978729,5.3,Rainfed,Black Soil,Rabi,2025,Groundnut,Flowering,
AP_ANP_00042,Vijayalakshmi,Anantapur,Bommanahal,Govindawada,SY-1042,14.974308,76.978729,5.3,Borewell,Red Sandy Loam,Summer,2025,Maize,Vegetative,
AP_ANP_00043,Nagarjuna Reddy,Anantapur,Vajrakarur,Chabala,SY-1043,15.027995,77.39482,6.97,Borewell,Red Loamy,Kharif,2025,Paddy,Maturity,
AP_ANP_00043,Nagarjuna Reddy,Anantapur,Vajrakarur,Chabala,SY-1043,15.027995,77.39482,6.97,Rainfed,Clay Loam,Rabi,2025,Bengal Gram,Maturity,
AP_ANP_00043,Nagarjuna Reddy,Anantapur,Vajrakarur,Chabala,SY-1043,15.027995,77.39482,6.97,Rainfed,Sandy Loam,Summer,2025,Vegetables,Vegetative,
AP_ANP_00044,Venkat Ramaiah,Anantapur,Garladinne,Illur,SY-1044,14.780374,77.6335,3.95,Rainfed,Clay Loam,Kharif,2025,Foxtail Millet,Maturity,
AP_ANP_00044,Venkat Ramaiah,Anantapur,Garladinne,Illur,SY-1044,14.780374,77.6335,3.95,Rainfed,Black Soil,Rabi,2025,Maize,Maturity,
AP_ANP_00044,Venkat Ramaiah,Anantapur,Garladinne,Illur,SY-1044,14.780374,77.6335,3.95,Rainfed,Red Loamy,Summer,2025,Maize,Sowing,
AP_ANP_00045,Gopal Reddy,Anantapur,Pamidi,Kalluru,SY-1045,14.901115,77.571209,2.59,Rainfed,Red Sandy Loam,Kharif,2025,Paddy,Sowing,
AP_ANP_00045,Gopal Reddy,Anantapur,Pamidi,Kalluru,SY-1045,14.901115,77.571209,2.59,Rainfed,Red Loamy,Rabi,2025,Bengal Gram,Sowing,
AP_ANP_00045,Gopal Reddy,Anantapur,Pamidi,Kalluru,SY-1045,14.901115,77.571209,2.59,Rainfed,Black Soil,Summer,2025,Sunflower,Sowing,
AP_ANP_00046,Bhavani S,Anantapur,Narpala,Narpala,SY-1046,14.723602,77.802981,7.05,Rainfed,Clay Loam,Kharif,2025,Paddy,Sowing,
AP_ANP_00046,Bhavani S,Anantapur,Narpala,Narpala,SY-1046,14.723602,77.802981,7.05,Rainfed,Clay Loam,Rabi,2025,Bengal Gram,Flowering,
AP_ANP_00046,Bhavani S,Anantapur,Narpala,Narpala,SY-1046,14.723602,77.802981,7.05,Rainfed,Red Loamy,Summer,2025,Maize,Maturity,
AP_ANP_00047,Ravi Teja,Anantapur,Narpala,Dondapadu,SY-1047,14.767701,77.764424,1.5,Borewell,Black Soil,Kharif,2025,Foxtail Millet,Flowering,
AP_ANP_00047,Ravi Teja,Anantapur,Narpala,Dondapadu,SY-1047,14.767701,77.764424,1.5,Rainfed,Red Loamy,Rabi,2025,Maize,Vegetative,
AP_ANP_00047,Ravi Teja,Anantapur,Narpala,Dondapadu,SY-1047,14.767701,77.764424,1.5,Rainfed,Red Sandy Loam,Summer,2025,Maize,Flowering,
AP_ANP_00048,Narasimha Rao,Anantapur,Putlur,Kondapuram,SY-1048,14.813393,77.958235,2.09,Rainfed,Red Sandy Loam,Kharif,2025,Red Gram,Sowing,
AP_ANP_00048,Narasimha Rao,Anantapur,Putlur,Kondapuram,SY-1048,14.813393,77.958235,2.09,Rainfed,Clay Loam,Rabi,2025,Sorghum,Vegetative,
AP_ANP_00048,Narasimha Rao,Anantapur,Putlur,Kondapuram,SY-1048,14.813393,77.958235,2.09,Borewell,Red Loamy,Summer,2025,Maize,Flowering,
AP_ANP_00049,Anuradha V,Anantapur,Pamidi,Pamidi,SY-1049,14.915499,77.585776,3.74,Rainfed,Sandy Loam,Kharif,2025,Foxtail Millet,Vegetative,
AP_ANP_00049,Anuradha V,Anantapur,Pamidi,Pamidi,SY-1049,14.915499,77.585776,3.74,Borewell,Red Loamy,Rabi,2025,Maize,Flowering,
AP_ANP_00049,Anuradha V,Anantapur,Pamidi,Pamidi,SY-1049,14.915499,77.585776,3.74,Rainfed,Sandy Loam,Summer,2025,Vegetables,Sowing,
AP_ANP_00050,Suresh Naidu,Anantapur,Singanamala,Nidugallu,SY-1050,14.83495,77.75084,2.34,Borewell,Red Sandy Loam,Kharif,2025,Pearl Millet,Flowering,
AP_ANP_00050,Suresh Naidu,Anantapur,Singanamala,Nidugallu,SY-1050,14.83495,77.75084,2.34,Rainfed,Sandy Loam,Rabi,2025,Sunflower,Maturity,
AP_ANP_00050,Suresh Naidu,Anantapur,Singanamala,Nidugallu,SY-1050,14.83495,77.75084,2.34,Rainfed,Red Loamy,Summer,2025,Vegetables,Maturity,
